"Room","TermStartDate","TermEndDate","StartTime","Endtime","Day","Term","AcademicCareer","CourseSubject","CourseNumber","Section"
"SUR3310","2018-05-07","2018-08-03","10:30 AM","12:20 PM","Th","1184","UGRD","BUS","251","D200"
"WMC3520","2018-05-07","2018-08-03","10:30 AM","12:20 PM","Tu","1184","UGRD","BUS","251","D100"
"AQ3182","2018-05-07","2018-08-03","12:30 PM","2:20 PM","Tu","1184","UGRD","BUS","254","D100"
"RCB8100","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Tu","1184","UGRD","BUS","320","D100"
"WMC2200","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Mo","1184","UGRD","BUS","321","D100"
"WMC2210","2018-05-07","2018-08-03","2:30 PM","5:20 PM","We","1184","UGRD","BUS","420","D100"
"WMC2210","2018-05-07","2018-08-03","5:30 PM","8:20 PM","We","1184","UGRD","BUS","420","E100"
"BLU10921","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Tu","1184","UGRD","BUS","421","D100"
"WMC2220","2018-05-07","2018-08-03","4:30 PM","7:20 PM","Tu","1184","UGRD","BUS","421","E100"
"WMC2202","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Th","1184","UGRD","BUS","424","D100"
"WMC2202","2018-05-07","2018-08-03","6:30 PM","9:20 PM","Th","1184","UGRD","BUS","424","E100"
"WMC3220","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Mo","1184","UGRD","BUS","426","D100"
"SUR2600","2018-05-07","2018-08-03","9:30 AM","1:20 PM","Mo","1184","UGRD","BUS","312","D200"
"SWH10081","2018-05-07","2018-08-03","9:30 AM","1:20 PM","We","1184","UGRD","BUS","312","D100"
"WMC2220","2018-05-07","2018-08-03","4:30 PM","7:20 PM","Th","1184","UGRD","BUS","316","E100"
"WMC3210","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Th","1184","UGRD","BUS","316","D100"
"RCB6125","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Tu","1184","UGRD","BUS","410","D100"
"WMC2202","2018-05-07","2018-08-03","5:30 PM","8:20 PM","Tu","1184","UGRD","BUS","410","E100"
"BLU10031","2018-05-07","2018-08-03","9:30 AM","1:20 PM","We","1184","UGRD","BUS","413","D100"
"BLU10011","2018-05-07","2018-08-03","8:30 AM","12:20 PM","Tu","1184","UGRD","BUS","417","D100"
"WMC3220","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Mo","1184","UGRD","BUS","418","D100"
"WMC3510","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Fr","1184","UGRD","BUS","419","D100"
"WMC3520","2018-05-07","2018-08-03","5:30 PM","7:20 PM","We","1184","UGRD","BUS","272","E100"
"AQ3182","2018-05-07","2018-08-03","12:30 PM","2:20 PM","Mo","1184","UGRD","BUS","272","D100"
"AQ3159","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Th","1184","UGRD","BUS","374","D200"
"SWH10061","2018-05-07","2018-08-03","5:30 PM","8:20 PM","We","1184","UGRD","BUS","481","D100"
"BLU9655","2018-05-07","2018-08-03","2:30 PM","5:20 PM","We","1184","UGRD","BUS","482","D100"
"WMC2220","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Tu","1184","UGRD","BUS","485","D100"
"WMC3513","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Th","1184","UGRD","BUS","486","D100"
"AQ3182","2018-05-07","2018-08-03","5:30 PM","8:20 PM","Mo","1184","UGRD","BUS","381","E100"
"WMC2200","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Mo","1184","UGRD","BUS","346","D100"
"WMC3253","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Mo","1184","UGRD","BUS","430","D100"
"WMC3510","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Mo","1184","UGRD","BUS","434","D100"
"AQ3181","2018-05-07","2018-08-03","4:30 PM","6:20 PM","Th","1184","UGRD","BUS","237","E100"
"B9201","2018-05-07","2018-08-03","12:30 PM","2:20 PM","Th","1184","UGRD","BUS","237","D100"
"WMC2200","2018-05-07","2018-08-03","9:30 AM","12:20 PM","We","1184","UGRD","BUS","361","D100"
"WMC2220","2018-05-07","2018-08-03","2:30 PM","4:20 PM","Mo","1184","UGRD","BUS","362","D100"
"WMC3510","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Tu","1184","UGRD","BUS","462","D100"
"BLU10031","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Th","1184","UGRD","BUS","464","D100"
"WMC3250","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Tu","1184","UGRD","BUS","468","D100"
"WMC3520","2018-05-07","2018-08-03","5:30 PM","7:20 PM","Tu","1184","UGRD","BUEC","232","E100"
"WMC3520","2018-05-07","2018-08-03","5:30 PM","7:20 PM","Th","1184","UGRD","BUEC","232","E100"
"WMC3520","2018-05-07","2018-08-03","1:30 PM","5:20 PM","Mo","1184","UGRD","BUS","336","D100"
"SUR3310","2018-05-07","2018-08-03","1:30 PM","5:20 PM","We","1184","UGRD","BUS","336","D200"
"WMC2507","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Mo","1184","UGRD","BUS","474","D100"
"SWH10081","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Fr","1184","UGRD","BUS","207","D100"
"SWH10041","2018-05-07","2018-08-03","5:30 PM","8:20 PM","Tu","1184","UGRD","BUS","207","E100"
"WMC3210","2018-05-07","2018-08-03","4:30 PM","7:20 PM","Th","1184","UGRD","BUS","303","E100"
"WMC2220","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Tu","1184","UGRD","BUS","303","D100"
"WMC2230","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Th","1184","UGRD","BUS","303","D100"
"SUR5140","2018-05-07","2018-08-03","9:30 AM","12:20 PM","We","1184","UGRD","BUS","303","D200"
"WMC3260","2018-05-07","2018-08-03","4:30 PM","6:20 PM","Mo","1184","UGRD","BUS","393","E100"
"WMC3260","2018-05-07","2018-08-03","8:30 AM","10:20 AM","Tu","1184","UGRD","BUS","393","D100"
"WMC2230","2018-05-07","2018-08-03","8:30 AM","10:20 AM","Th","1184","UGRD","BUS","393","D100"
"SUR3310","2018-05-07","2018-08-03","12:30 PM","2:20 PM","Tu","1184","UGRD","BUS","393","D200"
"WMC3510","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Mo","1184","UGRD","BUS","478","D100"
"WMC3250","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Mo","1184","UGRD","BUS","478","D200"
"WMC3250","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Tu","1184","UGRD","BUS","478","D300"
"WMC3250","2018-05-07","2018-08-03","9:30 AM","12:20 PM","We","1184","UGRD","BUS","478","D400"
"SUR5380","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Fr","1184","UGRD","BUS","478","D500"
"WMC3250","2018-05-07","2018-08-03","5:30 PM","8:20 PM","Tu","1184","UGRD","BUS","478","E100"
"WMC3510","2018-05-07","2018-08-03","4:30 PM","7:20 PM","We","1184","UGRD","BUS","478","E200"
"WMC3253","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Th","1184","UGRD","BUS","360","D100"
"WMC3253","2018-05-07","2018-08-03","2:30 PM","5:20 PM","We","1184","UGRD","BUS","360","D200"
"BLU10921","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Th","1184","UGRD","BUS","360","D300"
"WMC3253","2018-05-07","2018-08-03","4:30 PM","7:20 PM","Tu","1184","UGRD","BUS","360","E100"
"SUR2750","2018-05-07","2018-08-03","2:30 PM","5:20 PM","We","1184","UGRD","BUS","360","D600"
"SUR5140","2018-05-07","2018-08-03","10:30 AM","12:20 PM","Th","1184","UGRD","BUS","343","D200"
"WMC3520","2018-05-07","2018-08-03","10:30 AM","12:20 PM","Fr","1184","UGRD","BUS","343","D100"
"WMC2200","2018-05-07","2018-08-03","10:30 AM","12:20 PM","Tu","1184","UGRD","BUS","347","D100"
"WMC3255","2018-05-07","2018-08-03","9:30 AM","1:20 PM","Mo","1184","UGRD","BUS","345","D100"
"AQ3149","2018-05-07","2018-08-03","4:30 PM","7:20 PM","Tu","1184","UGRD","BUS","320","E100"
"WMC2503","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Mo","1184","UGRD","BUS","322","D200"
"WMC3260","2018-05-07","2018-08-03","4:30 PM","6:20 PM","Tu","1184","UGRD","BUS","254","E100"
"WMC3250","2018-05-07","2018-08-03","5:30 PM","8:20 PM","Mo","1184","UGRD","BUS","426","E100"
"BLU10921","2018-05-07","2018-08-03","2:30 PM","5:20 PM","We","1184","UGRD","BUS","437","D100"
"BLU10011","2018-05-07","2018-08-03","9:30 AM","1:20 PM","Fr","1184","UGRD","BUS","473","D100"
"WMC2202","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Th","1184","UGRD","BUS","217","D100"
"AQ3154","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Tu","1184","UGRD","BUS","217","D200"
"WMC2220","2018-05-07","2018-08-03","9:30 AM","12:20 PM","We","1184","UGRD","BUS","217","D300"
"WMC3510","2018-05-07","2018-08-03","4:30 PM","7:20 PM","Tu","1184","UGRD","BUS","462","E100"
"AQ3153","2018-05-07","2018-08-03","12:30 PM","2:20 PM","Mo","1184","UGRD","BUS","393","D300"
"SUR5140","2018-05-07","2018-08-03","2:30 PM","5:20 PM","We","1184","UGRD","BUS","217","D400"
"WMC2230","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Mo","1184","UGRD","BUS","233","D100"
"AQ3154","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Fr","1184","UGRD","BUS","200","D100"
"WMC2200","2018-05-07","2018-08-03","8:30 AM","12:20 PM","Th","1184","UGRD","BUS","311","D100"
"WMC2220","2018-05-07","2018-08-03","1:30 PM","5:20 PM","We","1184","UGRD","BUS","340","D100"
"WMC2210","2018-05-07","2018-08-03","1:30 PM","5:20 PM","Tu","1184","UGRD","BUS","341","D100"
"BLU10021","2018-05-07","2018-08-03","1:30 PM","5:20 PM","Fr","1184","UGRD","BUS","401","D100"
"SWH10041","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Fr","1184","UGRD","BUS","381","D100"
"SUR3090","2018-05-07","2018-08-03","9:30 AM","12:20 PM","We","1184","UGRD","BUS","238","D100"
"SUR5360","2018-05-07","2018-08-03","2:30 PM","5:20 PM","We","1184","UGRD","BUS","338","D100"
"SUR5080","2018-05-07","2018-08-03","11:30 AM","12:20 PM","Mo","1184","UGRD","BUS","405","D100"
"SUR5080","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Mo","1184","UGRD","BUS","406","D100"
"WMC3220","2018-05-07","2018-08-03","2:30 PM","5:20 PM","We","1184","UGRD","BUS","435","D100"
"WMC3250","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Fr","1184","UGRD","BUS","466","D100"
"WMC3535","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Th","1184","UGRD","BUS","464","D200"
"WMC3250","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Fr","1184","UGRD","BUS","468","D200"
"WMC3535","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Th","1184","UGRD","BUS","475","D100"
"WMC2230","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Fr","1184","UGRD","BUS","202","D100"
"WMC2230","2018-05-07","2018-08-03","9:30 AM","12:20 PM","We","1184","UGRD","BUS","202","D200"
"WMC2202","2018-05-07","2018-08-03","1:30 PM","5:20 PM","We","1184","UGRD","BUS","446","D100"
"AQ3159","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Mo","1184","UGRD","BUS","221","D200"
"AQ3154","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Mo","1184","UGRD","BUS","221","D100"
"WMC2305","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Tu","1184","UGRD","BUS","445","D100"
"RCB8100","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Th","1184","UGRD","BUS","303","D300"
"WMC3510","2018-05-07","2018-08-03","5:30 PM","8:20 PM","Mo","1184","UGRD","BUS","418","E100"
"WMC2220","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Fr","1184","UGRD","BUS","330","D100"
"B9201","2018-05-07","2018-08-03","2:30 PM","4:20 PM","Tu","1184","UGRD","BUEC","232","D100"
"B9201","2018-05-07","2018-08-03","2:30 PM","4:20 PM","Th","1184","UGRD","BUEC","232","D100"
"WMC3533","2018-05-07","2018-08-03","5:30 PM","8:20 PM","We","1184","UGRD","BUS","360","E200"
"AQ3154","2018-05-07","2018-08-03","8:30 AM","11:20 AM","Tu","1184","UGRD","BUS","200","D200"
"WMC3250","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Mo","1184","UGRD","BUS","478","D600"
"BLU10011","2018-05-07","2018-08-03","1:30 PM","5:20 PM","Fr","1184","UGRD","BUS","413","D200"
"SUR2750","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Th","1184","UGRD","BUS","450","D100"
"WMC3253","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Tu","1184","UGRD","BUS","360","D700"
"WMC2220","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Th","1184","UGRD","BUS","321","D200"
"WMC3210","2018-05-07","2018-08-03","5:30 PM","8:20 PM","We","1184","UGRD","BUS","322","E100"
"BLU10011","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Mo","1184","UGRD","BUS","474","D200"
"WMC2202","2018-05-07","2018-08-03","9:30 AM","12:20 PM","We","1184","UGRD","BUS","346","D200"
"WMC3250","2018-05-07","2018-08-03","8:30 AM","11:20 AM","Th","1184","UGRD","BUS","466","D200"
"SUR3250","2018-05-07","2018-08-03","8:30 AM","4:20 PM","Th","1184","UGRD","BUS","495","D200"
"SEGAL4800","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Th","1184","UGRD","BUS","493","D100"
"WMC3510","2018-05-07","2018-08-03","9:30 AM","1:20 PM","We","1184","UGRD","BUS","448","D100"
"AQ3154","2018-05-07","2018-08-03","9:30 AM","1:20 PM","We","1184","UGRD","BUS","315","D100"
